home,score,away,year
Young Boys,v,Aston Villa,2024-2025
Juventus,v,PSV Eindhoven,2024-2025
Milan,v,Liverpool,2024-2025
Bayern Munich,v,Dinamo Zagreb,2024-2025
Real Madrid,v,VfB Stuttgart,2024-2025
Sporting CP,v,Lille,2024-2025
Sparta Prague,v,Red Bull Salzburg,2024-2025
Bologna,v,Shakhtar Donetsk,2024-2025
Celtic,v,Slovan Bratislava,2024-2025
Club Brugge,v,Borussia Dortmund,2024-2025
Manchester City,v,Inter Milan,2024-2025
Paris Saint-Germain,v,Girona,2024-2025
Feyenoord,v,Bayer Leverkusen,2024-2025
Red Star Belgrade,v,Benfica,2024-2025
Monaco,v,Barcelona,2024-2025
Atalanta,v,Arsenal,2024-2025
Atlético Madrid,v,RB Leipzig,2024-2025
Brest,v,Sturm Graz,2024-2025
Red Bull Salzburg,v,Brest,2024-2025
VfB Stuttgart,v,Sparta Prague,2024-2025
Arsenal,v,Paris Saint-Germain,2024-2025
Bayer Leverkusen,v,Milan,2024-2025
Borussia Dortmund,v,Celtic,2024-2025
Barcelona,v,Young Boys,2024-2025
Inter Milan,v,Red Star Belgrade,2024-2025
PSV Eindhoven,v,Sporting CP,2024-2025
Slovan Bratislava,v,Manchester City,2024-2025
Shakhtar Donetsk,v,Atalanta,2024-2025
Girona,v,Feyenoord,2024-2025
Aston Villa,v,Bayern Munich,2024-2025
Dinamo Zagreb,v,Monaco,2024-2025
Liverpool,v,Bologna,2024-2025
Lille,v,Real Madrid,2024-2025
RB Leipzig,v,Juventus,2024-2025
Sturm Graz,v,Club Brugge,2024-2025
Benfica,v,Atlético Madrid,2024-2025
Milan,v,Club Brugge,2024-2025
Monaco,v,Red Star Belgrade,2024-2025
Arsenal,v,Shakhtar Donetsk,2024-2025
Aston Villa,v,Bologna,2024-2025
Girona,v,Slovan Bratislava,2024-2025
Juventus,v,VfB Stuttgart,2024-2025
Paris Saint-Germain,v,PSV Eindhoven,2024-2025
Real Madrid,v,Borussia Dortmund,2024-2025
Sturm Graz,v,Sporting CP,2024-2025
Atalanta,v,Celtic,2024-2025
Brest,v,Bayer Leverkusen,2024-2025
Atlético Madrid,v,Lille,2024-2025
Young Boys,v,Inter Milan,2024-2025
Barcelona,v,Bayern Munich,2024-2025
Red Bull Salzburg,v,Dinamo Zagreb,2024-2025
Manchester City,v,Sparta Prague,2024-2025
RB Leipzig,v,Liverpool,2024-2025
Benfica,v,Feyenoord,2024-2025
PSV Eindhoven,v,Girona,2024-2025
Slovan Bratislava,v,Dinamo Zagreb,2024-2025
Bologna,v,Monaco,2024-2025
Borussia Dortmund,v,Sturm Graz,2024-2025
Celtic,v,RB Leipzig,2024-2025
Liverpool,v,Bayer Leverkusen,2024-2025
Lille,v,Juventus,2024-2025
Real Madrid,v,Milan,2024-2025
Sporting CP,v,Manchester City,2024-2025
Club Brugge,v,Aston Villa,2024-2025
Shakhtar Donetsk,v,Young Boys,2024-2025
Sparta Prague,v,Brest,2024-2025
Bayern Munich,v,Benfica,2024-2025
Inter Milan,v,Arsenal,2024-2025
Feyenoord,v,Red Bull Salzburg,2024-2025
Red Star Belgrade,v,Barcelona,2024-2025
Paris Saint-Germain,v,Atlético Madrid,2024-2025
VfB Stuttgart,v,Atalanta,2024-2025
Sparta Prague,v,Atlético Madrid,2024-2025
Slovan Bratislava,v,Milan,2024-2025
Bayer Leverkusen,v,Red Bull Salzburg,2024-2025
Young Boys,v,Atalanta,2024-2025
Barcelona,v,Brest,2024-2025
Bayern Munich,v,Paris Saint-Germain,2024-2025
Inter Milan,v,RB Leipzig,2024-2025
Manchester City,v,Feyenoord,2024-2025
Sporting CP,v,Arsenal,2024-2025
Red Star Belgrade,v,VfB Stuttgart,2024-2025
Sturm Graz,v,Girona,2024-2025
Monaco,v,Benfica,2024-2025
Aston Villa,v,Juventus,2024-2025
Bologna,v,Lille,2024-2025
Celtic,v,Club Brugge,2024-2025
Dinamo Zagreb,v,Borussia Dortmund,2024-2025
Liverpool,v,Real Madrid,2024-2025
PSV Eindhoven,v,Shakhtar Donetsk,2024-2025
Girona,v,Liverpool,2024-2025
Dinamo Zagreb,v,Celtic,2024-2025
Atalanta,v,Real Madrid,2024-2025
Bayer Leverkusen,v,Inter Milan,2024-2025
Club Brugge,v,Sporting CP,2024-2025
Red Bull Salzburg,v,Paris Saint-Germain,2024-2025
Shakhtar Donetsk,v,Bayern Munich,2024-2025
RB Leipzig,v,Aston Villa,2024-2025
Brest,v,PSV Eindhoven,2024-2025
Atlético Madrid,v,Slovan Bratislava,2024-2025
Lille,v,Sturm Graz,2024-2025
Milan,v,Red Star Belgrade,2024-2025
Arsenal,v,Monaco,2024-2025
Borussia Dortmund,v,Barcelona,2024-2025
Feyenoord,v,Sparta Prague,2024-2025
Juventus,v,Manchester City,2024-2025
Benfica,v,Bologna,2024-2025
VfB Stuttgart,v,Young Boys,2024-2025
Monaco,v,Aston Villa,2024-2025
Atalanta,v,Sturm Graz,2024-2025
Atlético Madrid,v,Bayer Leverkusen,2024-2025
Bologna,v,Borussia Dortmund,2024-2025
Club Brugge,v,Juventus,2024-2025
Red Star Belgrade,v,PSV Eindhoven,2024-2025
Liverpool,v,Lille,2024-2025
Slovan Bratislava,v,VfB Stuttgart,2024-2025
Benfica,v,Barcelona,2024-2025
Shakhtar Donetsk,v,Brest,2024-2025
RB Leipzig,v,Sporting CP,2024-2025
Milan,v,Girona,2024-2025
Sparta Prague,v,Inter Milan,2024-2025
Arsenal,v,Dinamo Zagreb,2024-2025
Celtic,v,Young Boys,2024-2025
Feyenoord,v,Bayern Munich,2024-2025
Paris Saint-Germain,v,Manchester City,2024-2025
Real Madrid,v,Red Bull Salzburg,2024-2025
Aston Villa,v,Celtic,2024-2025
Bayer Leverkusen,v,Sparta Prague,2024-2025
Borussia Dortmund,v,Shakhtar Donetsk,2024-2025
Young Boys,v,Red Star Belgrade,2024-2025
Barcelona,v,Atalanta,2024-2025
Bayern Munich,v,Slovan Bratislava,2024-2025
Inter Milan,v,Monaco,2024-2025
Red Bull Salzburg,v,Atlético Madrid,2024-2025
Girona,v,Arsenal,2024-2025
Dinamo Zagreb,v,Milan,2024-2025
Juventus,v,Benfica,2024-2025
Lille,v,Feyenoord,2024-2025
Manchester City,v,Club Brugge,2024-2025
PSV Eindhoven,v,Liverpool,2024-2025
Sturm Graz,v,RB Leipzig,2024-2025
Sporting CP,v,Bologna,2024-2025
Brest,v,Real Madrid,2024-2025
VfB Stuttgart,v,Paris Saint-Germain,2024-2025
