HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Manchester City,Napoli,2011-2012,1,1,2
Villarreal,Bayern Munich,2011-2012,0,2,2
Bayern Munich,Manchester City,2011-2012,2,0,2
Napoli,Villarreal,2011-2012,2,0,2
Napoli,Bayern Munich,2011-2012,1,1,2
Manchester City,Villarreal,2011-2012,2,1,3
Bayern Munich,Napoli,2011-2012,3,2,5
Villarreal,Manchester City,2011-2012,0,3,3
Napoli,Manchester City,2011-2012,2,1,3
Bayern Munich,Villarreal,2011-2012,3,1,4
Manchester City,Bayern Munich,2011-2012,2,0,2
Villarreal,Napoli,2011-2012,0,2,2
Lille,CSKA Moscow,2011-2012,2,2,4
Internazionale,Trabzonspor,2011-2012,0,1,1
CSKA Moscow,Internazionale,2011-2012,2,3,5
Trabzonspor,Lille,2011-2012,1,1,2
CSKA Moscow,Trabzonspor,2011-2012,3,0,3
Lille,Internazionale,2011-2012,0,1,1
Trabzonspor,CSKA Moscow,2011-2012,0,0,0
Internazionale,Lille,2011-2012,2,1,3
CSKA Moscow,Lille,2011-2012,0,2,2
Trabzonspor,Internazionale,2011-2012,1,1,2
Lille,Trabzonspor,2011-2012,0,0,0
Internazionale,CSKA Moscow,2011-2012,1,2,3
Basel,Oțelul Galați,2011-2012,2,1,3
Benfica,Manchester United,2011-2012,1,1,2
Manchester United,Basel,2011-2012,3,3,6
Oțelul Galați,Benfica,2011-2012,0,1,1
Oțelul Galați,Manchester United,2011-2012,0,2,2
Basel,Benfica,2011-2012,0,2,2
Manchester United,Oțelul Galați,2011-2012,2,0,2
Benfica,Basel,2011-2012,1,1,2
Oțelul Galați,Basel,2011-2012,2,3,5
Manchester United,Benfica,2011-2012,2,2,4
Basel,Manchester United,2011-2012,2,1,3
Benfica,Oțelul Galați,2011-2012,1,0,1
Dinamo Zagreb,Real Madrid,2011-2012,0,1,1
Ajax,Lyon,2011-2012,0,0,0
Lyon,Dinamo Zagreb,2011-2012,2,0,2
Real Madrid,Ajax,2011-2012,3,0,3
Real Madrid,Lyon,2011-2012,4,0,4
Dinamo Zagreb,Ajax,2011-2012,0,2,2
Lyon,Real Madrid,2011-2012,0,2,2
Ajax,Dinamo Zagreb,2011-2012,4,0,4
Real Madrid,Dinamo Zagreb,2011-2012,6,2,8
Lyon,Ajax,2011-2012,0,0,0
Dinamo Zagreb,Lyon,2011-2012,1,7,8
Ajax,Real Madrid,2011-2012,0,3,3
Chelsea,Bayer Leverkusen,2011-2012,2,0,2
Genk,Valencia,2011-2012,0,0,0
Valencia,Chelsea,2011-2012,1,1,2
Bayer Leverkusen,Genk,2011-2012,2,0,2
Bayer Leverkusen,Valencia,2011-2012,2,1,3
Chelsea,Genk,2011-2012,5,0,5
Valencia,Bayer Leverkusen,2011-2012,3,1,4
Genk,Chelsea,2011-2012,1,1,2
Bayer Leverkusen,Chelsea,2011-2012,2,1,3
Valencia,Genk,2011-2012,7,0,7
Chelsea,Valencia,2011-2012,3,0,3
Genk,Bayer Leverkusen,2011-2012,1,1,2
Olympiacos,Marseille,2011-2012,0,1,1
Borussia Dortmund,Arsenal,2011-2012,1,1,2
Arsenal,Olympiacos,2011-2012,2,1,3
Marseille,Borussia Dortmund,2011-2012,3,0,3
Marseille,Arsenal,2011-2012,0,1,1
Olympiacos,Borussia Dortmund,2011-2012,3,1,4
Arsenal,Marseille,2011-2012,0,0,0
Borussia Dortmund,Olympiacos,2011-2012,1,0,1
Marseille,Olympiacos,2011-2012,0,1,1
Arsenal,Borussia Dortmund,2011-2012,2,1,3
Olympiacos,Arsenal,2011-2012,3,1,4
Borussia Dortmund,Marseille,2011-2012,2,3,5
Porto,Shakhtar Donetsk,2011-2012,2,1,3
APOEL,Zenit Saint Petersburg,2011-2012,2,1,3
Zenit Saint Petersburg,Porto,2011-2012,3,1,4
Shakhtar Donetsk,APOEL,2011-2012,1,1,2
Shakhtar Donetsk,Zenit Saint Petersburg,2011-2012,2,2,4
Porto,APOEL,2011-2012,1,1,2
Zenit Saint Petersburg,Shakhtar Donetsk,2011-2012,1,0,1
APOEL,Porto,2011-2012,2,1,3
Zenit Saint Petersburg,APOEL,2011-2012,0,0,0
Shakhtar Donetsk,Porto,2011-2012,0,2,2
Porto,Zenit Saint Petersburg,2011-2012,0,0,0
APOEL,Shakhtar Donetsk,2011-2012,0,2,2
Barcelona,Milan,2011-2012,2,2,4
Viktoria Plzeň,BATE Borisov,2011-2012,1,1,2
BATE Borisov,Barcelona,2011-2012,0,5,5
Milan,Viktoria Plzeň,2011-2012,2,0,2
Milan,BATE Borisov,2011-2012,2,0,2
Barcelona,Viktoria Plzeň,2011-2012,2,0,2
BATE Borisov,Milan,2011-2012,1,1,2
Viktoria Plzeň,Barcelona,2011-2012,0,4,4
BATE Borisov,Viktoria Plzeň,2011-2012,0,1,1
Milan,Barcelona,2011-2012,2,3,5
Barcelona,BATE Borisov,2011-2012,4,0,4
Viktoria Plzeň,Milan,2011-2012,2,2,4
Dinamo Zagreb,Porto,2012-2013,0,2,2
Paris Saint-Germain,Dynamo Kyiv,2012-2013,4,1,5
Dynamo Kyiv,Dinamo Zagreb,2012-2013,2,0,2
Porto,Paris Saint-Germain,2012-2013,1,0,1
Porto,Dynamo Kyiv,2012-2013,3,2,5
Dinamo Zagreb,Paris Saint-Germain,2012-2013,0,2,2
Dynamo Kyiv,Porto,2012-2013,0,0,0
Paris Saint-Germain,Dinamo Zagreb,2012-2013,4,0,4
Porto,Dinamo Zagreb,2012-2013,3,0,3
Dynamo Kyiv,Paris Saint-Germain,2012-2013,0,2,2
Dinamo Zagreb,Dynamo Kyiv,2012-2013,1,1,2
Paris Saint-Germain,Porto,2012-2013,2,1,3
Montpellier,Arsenal,2012-2013,1,2,3
Olympiacos,Schalke 04,2012-2013,1,2,3
Schalke 04,Montpellier,2012-2013,2,2,4
Arsenal,Olympiacos,2012-2013,3,1,4
Arsenal,Schalke 04,2012-2013,0,2,2
Montpellier,Olympiacos,2012-2013,1,2,3
Schalke 04,Arsenal,2012-2013,2,2,4
Olympiacos,Montpellier,2012-2013,3,1,4
Arsenal,Montpellier,2012-2013,2,0,2
Schalke 04,Olympiacos,2012-2013,1,0,1
Montpellier,Schalke 04,2012-2013,1,1,2
Olympiacos,Arsenal,2012-2013,2,1,3
Málaga,Zenit Saint Petersburg,2012-2013,3,0,3
Milan,Anderlecht,2012-2013,0,0,0
Zenit Saint Petersburg,Milan,2012-2013,2,3,5
Anderlecht,Málaga,2012-2013,0,3,3
Zenit Saint Petersburg,Anderlecht,2012-2013,1,0,1
Málaga,Milan,2012-2013,1,0,1
Anderlecht,Zenit Saint Petersburg,2012-2013,1,0,1
Milan,Málaga,2012-2013,1,1,2
Zenit Saint Petersburg,Málaga,2012-2013,2,2,4
Anderlecht,Milan,2012-2013,1,3,4
Málaga,Anderlecht,2012-2013,2,2,4
Milan,Zenit Saint Petersburg,2012-2013,0,1,1
Borussia Dortmund,Ajax,2012-2013,1,0,1
Real Madrid,Manchester City,2012-2013,3,2,5
Manchester City,Borussia Dortmund,2012-2013,1,1,2
Ajax,Real Madrid,2012-2013,1,4,5
Ajax,Manchester City,2012-2013,3,1,4
Borussia Dortmund,Real Madrid,2012-2013,2,1,3
Manchester City,Ajax,2012-2013,2,2,4
Real Madrid,Borussia Dortmund,2012-2013,2,2,4
Ajax,Borussia Dortmund,2012-2013,1,4,5
Manchester City,Real Madrid,2012-2013,1,1,2
Borussia Dortmund,Manchester City,2012-2013,1,0,1
Real Madrid,Ajax,2012-2013,4,1,5
Shakhtar Donetsk,FC Nordsjælland,2012-2013,2,0,2
Chelsea,Juventus,2012-2013,2,2,4
Juventus,Shakhtar Donetsk,2012-2013,1,1,2
FC Nordsjælland,Chelsea,2012-2013,0,4,4
FC Nordsjælland,Juventus,2012-2013,1,1,2
Shakhtar Donetsk,Chelsea,2012-2013,2,1,3
Juventus,FC Nordsjælland,2012-2013,4,0,4
Chelsea,Shakhtar Donetsk,2012-2013,3,2,5
FC Nordsjælland,Shakhtar Donetsk,2012-2013,2,5,7
Juventus,Chelsea,2012-2013,3,0,3
Shakhtar Donetsk,Juventus,2012-2013,0,1,1
Chelsea,FC Nordsjælland,2012-2013,6,1,7
Lille,BATE Borisov,2012-2013,1,3,4
Bayern Munich,Valencia,2012-2013,2,1,3
Valencia,Lille,2012-2013,2,0,2
BATE Borisov,Bayern Munich,2012-2013,3,1,4
BATE Borisov,Valencia,2012-2013,0,3,3
Lille,Bayern Munich,2012-2013,0,1,1
Valencia,BATE Borisov,2012-2013,4,2,6
Bayern Munich,Lille,2012-2013,6,1,7
BATE Borisov,Lille,2012-2013,0,2,2
Valencia,Bayern Munich,2012-2013,1,1,2
Lille,Valencia,2012-2013,0,1,1
Bayern Munich,BATE Borisov,2012-2013,4,1,5
Barcelona,Spartak Moscow,2012-2013,3,2,5
Celtic,Benfica,2012-2013,0,0,0
Spartak Moscow,Celtic,2012-2013,2,3,5
Benfica,Barcelona,2012-2013,0,2,2
Spartak Moscow,Benfica,2012-2013,2,1,3
Barcelona,Celtic,2012-2013,2,1,3
Benfica,Spartak Moscow,2012-2013,2,0,2
Celtic,Barcelona,2012-2013,2,1,3
Spartak Moscow,Barcelona,2012-2013,0,3,3
Benfica,Celtic,2012-2013,2,1,3
Barcelona,Benfica,2012-2013,0,0,0
Celtic,Spartak Moscow,2012-2013,2,1,3
Manchester United,Galatasaray,2012-2013,1,0,1
Braga,CFR Cluj,2012-2013,0,2,2
CFR Cluj,Manchester United,2012-2013,1,2,3
Galatasaray,Braga,2012-2013,0,2,2
Galatasaray,CFR Cluj,2012-2013,1,1,2
Manchester United,Braga,2012-2013,3,2,5
CFR Cluj,Galatasaray,2012-2013,1,3,4
Braga,Manchester United,2012-2013,1,3,4
Galatasaray,Manchester United,2012-2013,1,0,1
CFR Cluj,Braga,2012-2013,3,1,4
Manchester United,CFR Cluj,2012-2013,0,1,1
Braga,Galatasaray,2012-2013,1,2,3
