home,score,away,year
Manchester City ,1–1, Napoli,2011-2012
Villarreal ,0–2, Bayern Munich,2011-2012
Bayern Munich ,2–0, Manchester City,2011-2012
Napoli ,2–0, Villarreal,2011-2012
Napoli ,1–1, Bayern Munich,2011-2012
Manchester City ,2–1, Villarreal,2011-2012
Bayern Munich ,3–2, Napoli,2011-2012
Villarreal ,0–3, Manchester City,2011-2012
Napoli ,2–1, Manchester City,2011-2012
Bayern Munich ,3–1, Villarreal,2011-2012
Manchester City ,2–0, Bayern Munich,2011-2012
Villarreal ,0–2, Napoli,2011-2012
Lille ,2–2, CSKA Moscow,2011-2012
Internazionale ,0–1, Trabzonspor,2011-2012
CSKA Moscow ,2–3, Internazionale,2011-2012
Trabzonspor ,1–1, Lille,2011-2012
CSKA Moscow ,3–0, Trabzonspor,2011-2012
Lille ,0–1, Internazionale,2011-2012
Trabzonspor ,0–0, CSKA Moscow,2011-2012
Internazionale ,2–1, Lille,2011-2012
CSKA Moscow ,0–2, Lille,2011-2012
Trabzonspor ,1–1, Internazionale,2011-2012
Lille ,0–0, Trabzonspor,2011-2012
Internazionale ,1–2, CSKA Moscow,2011-2012
Basel ,2–1, Oțelul Galați,2011-2012
Benfica ,1–1, Manchester United,2011-2012
Manchester United ,3–3, Basel,2011-2012
Oțelul Galați ,0–1, Benfica,2011-2012
Oțelul Galați ,0–2, Manchester United,2011-2012
Basel ,0–2, Benfica,2011-2012
Manchester United ,2–0, Oțelul Galați,2011-2012
Benfica ,1–1, Basel,2011-2012
Oțelul Galați ,2–3, Basel,2011-2012
Manchester United ,2–2, Benfica,2011-2012
Basel ,2–1, Manchester United,2011-2012
Benfica ,1–0, Oțelul Galați,2011-2012
Dinamo Zagreb ,0–1, Real Madrid,2011-2012
Ajax ,0–0, Lyon,2011-2012
Lyon ,2–0, Dinamo Zagreb,2011-2012
Real Madrid ,3–0, Ajax,2011-2012
Real Madrid ,4–0, Lyon,2011-2012
Dinamo Zagreb ,0–2, Ajax,2011-2012
Lyon ,0–2, Real Madrid,2011-2012
Ajax ,4–0, Dinamo Zagreb,2011-2012
Real Madrid ,6–2, Dinamo Zagreb,2011-2012
Lyon ,0–0, Ajax,2011-2012
Dinamo Zagreb ,1–7, Lyon,2011-2012
Ajax ,0–3, Real Madrid,2011-2012
Chelsea ,2–0, Bayer Leverkusen,2011-2012
Genk ,0–0, Valencia,2011-2012
Valencia ,1–1, Chelsea,2011-2012
Bayer Leverkusen ,2–0, Genk,2011-2012
Bayer Leverkusen ,2–1, Valencia,2011-2012
Chelsea ,5–0, Genk,2011-2012
Valencia ,3–1, Bayer Leverkusen,2011-2012
Genk ,1–1, Chelsea,2011-2012
Bayer Leverkusen ,2–1, Chelsea,2011-2012
Valencia ,7–0, Genk,2011-2012
Chelsea ,3–0, Valencia,2011-2012
Genk ,1–1, Bayer Leverkusen,2011-2012
Olympiacos ,0–1, Marseille,2011-2012
Borussia Dortmund ,1–1, Arsenal,2011-2012
Arsenal ,2–1, Olympiacos,2011-2012
Marseille ,3–0, Borussia Dortmund,2011-2012
Marseille ,0–1, Arsenal,2011-2012
Olympiacos ,3–1, Borussia Dortmund,2011-2012
Arsenal ,0–0, Marseille,2011-2012
Borussia Dortmund ,1–0, Olympiacos,2011-2012
Marseille ,0–1, Olympiacos,2011-2012
Arsenal ,2–1, Borussia Dortmund,2011-2012
Olympiacos ,3–1, Arsenal,2011-2012
Borussia Dortmund ,2–3, Marseille,2011-2012
Porto ,2–1, Shakhtar Donetsk,2011-2012
APOEL ,2–1, Zenit Saint Petersburg,2011-2012
Zenit Saint Petersburg ,3–1, Porto,2011-2012
Shakhtar Donetsk ,1–1, APOEL,2011-2012
Shakhtar Donetsk ,2–2, Zenit Saint Petersburg,2011-2012
Porto ,1–1, APOEL,2011-2012
Zenit Saint Petersburg ,1–0, Shakhtar Donetsk,2011-2012
APOEL ,2–1, Porto,2011-2012
Zenit Saint Petersburg ,0–0, APOEL,2011-2012
Shakhtar Donetsk ,0–2, Porto,2011-2012
Porto ,0–0, Zenit Saint Petersburg,2011-2012
APOEL ,0–2, Shakhtar Donetsk,2011-2012
Barcelona ,2–2, Milan,2011-2012
Viktoria Plzeň ,1–1, BATE Borisov,2011-2012
BATE Borisov ,0–5, Barcelona,2011-2012
Milan ,2–0, Viktoria Plzeň,2011-2012
Milan ,2–0, BATE Borisov,2011-2012
Barcelona ,2–0, Viktoria Plzeň,2011-2012
BATE Borisov ,1–1, Milan,2011-2012
Viktoria Plzeň ,0–4, Barcelona,2011-2012
